"Translation Info:
#---------------------------
2038,17,9,"Dhugumatti, Qur’aanni kun (karaa) ishee irra haqaafi qajeeltuu taatetti ni qajeelchaMu’uminoota warra gaggaarii hojjatan dhugumatti mindaan guddaan isaaniif jiraachuudhaan gammachiisa.",""
2039,17,10,"Isaan aakhiraatti hin ammanne immoo adabbii laalessaa ta’e isaaniif qopheessinee jirra (jechuun gammachiisa).",""
2040,17,11,"Ilmi namaa (yeroo aarii) hamtuu akkuma toltuu kadhatutti (Rabbiin) kadhataIlmi namaa jarjaraa ta’eera.",""
2041,17,12,"Halkaniifi guyyaas mallattoo lama taasifnee jirraMallattoo halkanii dukkanaan haguugnee, mallattoo guyyaa immoo ifa gooneAkka tola Gooftaa keessan irraa ta’e barbaaddaniifi akka lakkoofsa waggootaafi herregas beektaniif (kana goone)Waan hunda addaan baafnee isa addeessinee jirra.",""
2042,17,13,"Nama hundayyuu carraa isaa morma isaatti rarraafnee jirraGuyyaa Qiyaamaa kitaaba banamaa (inni) isa argatu taasifneeti isaaf baafna.",""
2043,17,14,"Kitaaba kee dubbisiHardha ati mataan kee of irratti herregaa ta’uuf ga’aadha.",""
2044,17,15,"Namni qajeele, kan inni qajeelu matuma ofiitiif qofaNamni jallates, kan inni jallatu ofuma irrattiLubbuun ba’aa baadhattu kamilleen ba’aa lubbuu biraa hin baadhattuHanga ergamaa erginutti kan adabnus hin taane.",""
2045,17,16,"Yeroo magaalaa tokko balleessuu feene, namoota qanani’oo ishee (akka Rabbiin sodaatan) ajajnaIsaan ishee keessatti ajaja Rabbii didu; kanaaf jechi (adabaa) isaan irratti mirkanaa’aIshee guutumatti barbadeessine.",""
2046,17,17,"Nuuhiin boodas magaalota irraa meeqaatama balleessine! Badii gabroota Isaa beekaa argaa ta’uun Gooftaan kee ga’aadha",""
2047,17,18,"Nama ishee (addunyaa) jerjertuu taate kana fedhu, ishee keessatti nama feeneef waan feene jerjersinaErgasii Ibidda jahannam arrabsamaa, darbamaa ta’ee kan seenu isaaf goona",""
2048,17,19,"Nama Aakhiraa fedhee haala dhugoomsee jiruun hojii ishee isiif hojjate, warra san hojiin isaanii galateeffatamaa ta’eera",""
2049,17,20,"Hundaayyuu, isaan kanaafi isaan sanas, kennaa Gooftaa keetii irraa (isaaniif) kenninaKennaan Gooftaa keetii dhorgatamaa miti.",""
2050,17,21,"Akkamitti garii isaanii garii irra akka caalchifne ilaaliHaa ta’u malee, Aakhiraatu sadarkaafi caalchisuuttis irra guddoodha.",""
2051,17,22,"Rabbii wajjin gabbaramaa biraa hin taasisin; (yoo waliin gabbarte) balaaleffatamaa, salphataa taatee teessa.",""
2052,17,23,"Gooftaan keetis akka isin Isa malee homaa hin gabbarreefi haadhaa abbaa keessanitti tola ooltan murteessee jiraYoo odoo ati lubbuun jirtuu tokkoon isaanii yookiin lamaanuu sadarkaa dullummaa irra ga’an, jecha hifannaa (tuffii) isaaniin hin jedhinIsaaniinis hin lolinJecha kabajaa isaaniin jedhi.",""
2053,17,24,"Isaaniif rahmata godhuuf jecha koola (qoochoo) xiqqeenyaa isaaniif gadi qabi“Gooftaa kiyya! Akkuma isaan anaa xiqqaa ta’ee na guddisan Atis rahmata isaaniif godhi” jedhi.",""
2054,17,25,"Gooftaan keessan waan lubbuu keessan keessa jiru akkaan beekaYoo namoota gaggaarii taataniif Inni warra akkaan gara Isaatti deebi’aniif araaramaa ta’eera.",""
2055,17,26,"Firaaf, harka qalleeyyiifi kara deemaafis haqa isaa kenni, qisaasuu (bazzaruu) hin qisaasin.",""
2056,17,27,"Dhugumatti, warri qisaasan obboleeyyan sheyxaanaa ta’aniiruSheyxaannis Gooftaa isaatti akkaan kafaraa ta’eera.",""
2057,17,28,"Yoo kennaa Gooftaa kee irraa ta’e kan isii kajeeltu barbaaduuf jecha isaan irraa gara galte, jecha laafaa isaaniin jedhi.",""
2058,17,29,"Harka keeti gara morma keetiitti sakaalamaa hin godhinDiriirinsa hundas isa hin diriirsinKomatamaa, sheena’aa taatee teessa.",""
2059,17,30,"Dhugumatti Gooftaan kee kennaa nama fedheef ni bal’isa; (nama fedhe irratti) ni dhiphisasDhugumatti, Inni gabroota Isaa beekaa, argaa ta’eera.",""
2060,17,31,"Ilmaan keessanis sodaa hiyyummaatiif jecha hin ajjeesinaaIsaaniifi isinis Nutu sooraDhugumatti, isaan ajjeesuun badii guddaa ta’eera.",""
2061,17,32,"Sagaagalummaattis hin dhihaatinaaDhugumatti, inni (hojii) fokkataafi karaa hamaa ta’ee jira.",""
2062,17,33,"Lubbuu Rabbiin (ajjeessuu) haraama godhe haqaan ala hin ajjeesinaaNama miidhamee ajjeefames nama isa dhaaluuf aangoo (dhiiga gaafachuu isaaf) kenninee jirraAjjeechaa keessatti daangaa hin dabrinDhugumatti, inni tumsamaa ta’eera.",""
2063,17,34,"Qabeenya yatiimaas, kaayyoo gaariif malee hanga inni cimina isaa ga’utti itti hin dhihaatinaaWaadaas guutaaDhugumatti, waadaan gaafatamaa ta’ee jira.",""
2064,17,35,"Yeroo safartanis safara guutaaMadaala qajeelaa ta’eenis madaalaaKun waan gaariidha; booddeen isaas bareedaadha.",""
2065,17,36,"Waan beekumsa isaa hin qabne hin hordofinDhugumatti, dhageettiin argaaniifi onneenis, kun hundinuu isa irraa gaafatamaa ta’eera.",""
2066,17,37,"Dachii keessas boonaa hin deeminDhugumatti, ati dachii hin urtu; dheerinnaanis gaara hin geessu.",""
2067,17,38,"Sun hundi yakki isaa Gooftaa kee biratti jibbamaa ta’eera",""
2068,17,39,"Kuni beekumsa irraa waan Gooftaan kee gara keetti wahyii godheedhaRabbii wajjinis gabbaramaa biraa hin taasisin(Yoos) komatamaa, fageeffamaa taatee jahannam keessatti darbamta.",""
2069,17,40,"Sila Gooftaan keessan isiniif ilmaan dhiiraa fileeti ofiif maleeykota irraa ilmaan dubaraa godhatee? Dhugumatti, isin jecha guddaa jettu.",""
2070,17,41,"Dhugumatti, Nuti Qur’aana kana keessatti akka (isaan) gorfamaniif deddeebinee ifa goonee jirraBaqa malee homaa isaaniif hin dabalu.",""
2071,17,42,"Jedhi: “Odoo akka isaan jedhan Isa waliin gabbaramtoonni biraa jiraatanii, silaa gara abbaa Arshiitti karaa barbaaddatu turan.”",""
2072,17,43,"Inni (Rabbiin) waan isaan jedhan irraa qulqulluufi ol ta’iinsa guddaas ol ta'eera",""
2073,17,44,"Samiin torbaniifi Dachiin, akkasumas wanni isaan keessa jiran hundi Isa faarsuWanti tokkos kan odoo faaruu Isaatiin Isa hin qulqulleessin hafu hin jiruGaruu isin faaruu isaanii hin beektanuDhugumatti, Inni obsaa, araaramaa ta’eera.",""
2074,17,45,"Yeroo Qur’aana dubbiftus gidduu keetiifi gidduu warra Aakhiraatti hin amannee haguuggii hin mul’anne taasifna.",""
2075,17,46,"Akka isaan isa (Qur’aana) hin hubannes onnee isaanii irratti haguuggii, gurra isaanii keessatti immoo duuchaa goonee jirraYeroo Qur’aana keessatti maqaa Gooftaa keetii kophaa Isaa dubbatte, baqataa dugda galu",""
2076,17,47,"Nuti yeroo isaan gara kee dhaggeeffatan, yeroo isaan maqoo (iccitii) hasaasan, yeroo miidhaa raawwattoonni “namticha sihriin tuqame malee waan biraa hin hordoftanu” (waliin) jedhanis waan isaan isa dhageeffataniif ni beekna.",""
2077,17,48,"Fakkeenya akkamii akka siif taasisan ilaaliIsaan jallatanii jiru; karaa (sirrii argachuus) hin danda’anu",""
2078,17,49,"Ni jedhus: “sila nuti erga (duunee) lafeefi bututaa (tortoraa) taanee booda uumama haarawa taanee kaafamoo dhaa?”",""
2079,17,50,"(Yaa Muhammad!) jedhiin: “Dhagaa yookiin sibiila ta’aa.",""
2080,17,51,"Yookiin uumama qoma keessan keessatti (kaafamuun) guddatus ta’aa (kaafamuun keessan hin hafu).” Ergasiis “Eenyutu nu deebisa” jedhu“Isa yeroo jalqabaa isin uumeedha” jedhiMataa isaanii sitti raasuuf jiruNi jedhus: “Inni sun yoomi ree?” “Dhihoo ta’uun mirkanaa’aadha” jedhiin.",""
2081,17,52,"Guyyaa Inni isin waamnaan, isin Isa faarsaa owwaattanii, yeroo gabaabaa malee turuu dhabuu yaaddan (ta’uun mirkanaa’e).",""
2082,17,53,"Gabroota kiyyaan “jecha gaggaarii dubbadhaaDhugumatti, sheyxaanni gidduu isaanii balleessaDhugumatti, sheyxaanni ilma namaatiif diina ifa bahaadha” jedhiin.",""
2083,17,54,"Gooftaan keessan akkaan isin beekaadhaYoo fedhes rahmata isiniif godha; yookiin yoo fedhe isin adabaNuti isaan irratti itti gaafatamaa goonee si hin ergine.",""
2084,17,55,"Gooftaan keenama samiifi dachii keessa jiru akkaan beekaadhaNuti dhugumatti nabiyyoota garii garii irra caalchifnee jirraDaawudiif zabuur kennineerra",""
2085,17,56,"“Warra Isa (Rabbii) gaditti (gabbaramaadha) jettan san waammadhaa! (Isaan) miidhaa isin irraa fuudhuus ta’ee naannessuu hin danda’an” jedhiin.",""
2086,17,57,"Warri isaan yaammatan sun eenyuu isaaniitu gara Rabbiitti irra dhihaataadhaan dhiheenya barbaadu.[] Rahmata isaas ni kajeeluadabbii isaas ni sodaatuDhugumatti, adabbiin Rabbii keetii sodaatamaa ta’ee jira.","[1]Yaanni aayatichaa ‘warri gara Rabbiitti irra dhiheenya qabanuyyuu dhiheenya barbaaduu! Warri biraa immoo sanaa ol Rabbirra barbaaduu qabu!’ jechuudha."
2087,17,58,"Magaalota kamiyyuu Guyyaa Qiyaamaatiin dura ishee balleessinu yookiin adabbii cimaa ishee adabnu malee hin haftuSun kitaabicha keessatti barreeffamaa ta’eera.",""
2088,17,59,"Mallattoolee keenya erguu wanti Nu dhorge warri duraa ishee kijibsiisuu malee hin jiruSamuudiifis gaalattii dhaltuu akka mallattoo ifa galaatti kenninee jirraIsheettis kafaranii (halaakamani)Nuti sodaachisaaf malee mallattoo hin erginu.",""
2089,17,60,"Yeroo “dhugumatti, Gooftaan kee namootaan marseera” siin jennes [yaadadhu]Arginsa kee ishee (halkan Israa’ii) si argisiifne san, namoota ittiin mokkoruuf qofa malee waan biraatiif hin gooneMukattii Qur’aana keessatti abaaramtes (mokkoroof malee hin goone)Nuti isaan sodaachifna; inni daangaa dabriinsa guddaa malee waan biraa isaaniif hin dabalu.",""
2090,17,61,"Yeroo maleeykotaan “Aadamiif sujuuda godhaa” jennes [yaadadhu]Ibliis malee isaan sujuuda godhanInni (Ibliis) “sila ani nama Ati dhoqqee (biyyee) irraa uumteefin sujuuda godhaa?” jedhe.",""
2091,17,62,")Ibliis) ni jedhe: “Mee naaf himi! Isa Ati ana caalaa kabajje kana, yoo hanga Guyyaa Qiyaamaatti na tursiifte, sanyii isaa muraasa malee garan fedhen harkisa.”",""
2092,17,63,")Rabbiin) ni jedhe: “Deemi! Namni isaan irraa si hordofes dhugumatti, jahannam galata keessan galata guutamaa ta’eedha.",""
2093,17,64,"Isaan irraa nama dandeesses sagalee keetiin kakaasiYaabbattoota keetiifi lafoo keetiinis isaan irratti gulufsiisiQabeenyaafi ilmaan keessattis isaanitti qindaa’ii waadaas isaaniif gali.” Sheyxaanni gowwoomsuu malee homaa waadaa isaaniif hin galu.",""
2094,17,65,"Dhugumatti, gabroota kiyya, isaan irratti aangoon siif hin jiruHirkoo ta’uuf Rabbiin kee ga’aadha.",""
2095,17,66,"Gooftaan keessan Isa akka tola Isaa irraa barbaaddattaniif, doonii galaana keessa isiniif deemsisuudhaDhugumatti, Inni isiniif rahmata godhaa ta’eera.",""
2096,17,67,"Yeroo rakkoon wahii galaana keessatti isin tuqes, Isa malee namoonni isin kadhachaa turtan (hundi) ni baduYeroma Inni gara dachiitti isin baase (Isa irraa) gara galtanNamnis akkaan kafaraa ta’eera.",""
2097,17,68,"Sila (Rabbiin) cinaa dachii isiniin kutuu yookiin bubbee cirrachaa isin irratti erguu, ergasii hirkoo argachuu dhabuu keessan hin sodaattanuu?",""
2098,17,69,"Yookiin immoo yeroo biraa isa (galaana) keessatti isin deebisee yeroma san hobonboleettii isinitti ergee, sababa isin kafartaniif isin balleessee ergasii isaan (adaba sanaan) isiniif Nu irratti hordofaa argachuu dhabuu keessan hin sodaattanuu?",""
2099,17,70,"Dhugumatti, Nuti ilmaan Aadam kabajneerraDachiifi galaana keessattis isaan baadhanneerraWantoota gaggaarii (halaala) irraas soorata isaaniif kennine jirraIrra hedduu wanta uumnee irras caalchisuu isaan caalchifnee jirra.",""
2100,17,71,"Guyyaa nama hunda imaamota isaaniitiin waamnu [yaadadhaa]Namni galmeen (kitaabni) isaa mirga isaatiin kennameef, warri sun kitaaba isaanii ni dubbisu; hanga qajjiisa baqaqaa firii timiraa keessaallee hin miidhamanu.",""
2101,17,72,"Namni addunyaa keessatti jaamaa (qalbii) ta’e, aakhiraa keessattis jaamaadha; karaadhaanis irra jallataadha.",""
2102,17,73,"Dhugumatti, isaan waan Nuti gara keetti wahyii goone irraa, akka ati soba isaan ala ta’e Nu irratti uumtuuf jecha si jallisuutti dhiyaatanii turanOggas jaalallee si taasifatu ture.",""
2103,17,74,"Odoo Nuti gadi si dhaabuu baannee, silaa ati waan xiqqoo gara isaanii dabuutti dhihaattee turte",""
2104,17,75,"Oggas Nuti (adabbii) dachaa kan jireenyaatiifi (adabbii) dachaa du’aa si dhandhamsiifna tureErgasii ati Nurraa tumsaa hin argattu.",""
2105,17,76,"Dhugumatti, isaan akka ishee irraa si baasaniif dachii keessatti si shororkeessuutti dhihaatanii jiruYoos, si booda xiqqoo malee hin turan ture.",""
2106,17,77,"Karaa ergamtoota keenya irraa nama si dura erginee (karaa siif goone)Karaa keenyaaf jijjiirama hin argitu.",""
2107,17,78,"Aduun dabuu irraa hanga dukkana halkaniitti salaata ulaagaa ishee guutii sagadiSalaata fajriis (sagadi)Salaanni fajrii (maleykaadhaan) hirmaatamaa ta’eera",""
2108,17,79,"Halkan irraas isaan (Qur’aanaan) haala (salaata) dabalataa siif taateen sagadiGooftaan kee iddoo faarfamaa ta’e si dhaabuun mirkanaa’aadha.",""
2109,17,80,"Jedhis: “(yaa) Gooftaa kiyya! Seensa gaarii naseensisiBa’iinsa gaariis na baasiSi biraas ragaa na gargaaru naaf taasisi.",""
2110,17,81,"“Dhugaan dhufe; sobni dhabameDhugumatti, sobni dhabamaa ta’eera” jedhi.",""
2111,17,82,"Nuti Qur’aana irraa waan qorichaafi rahmata mu’uminootaaf ta’e kan miidhaa raawwattootaaf hoongoo malee homaa hin daballe buufna.",""
2112,17,83,"Yeroo ilma namaa ni’imaa keenyaan qanansiifnes, garagaleeti cinaa isaatiin (dhugaa) irraa fagaataYeroo hamtuun isa tuqes, abdii murataa ta’a.",""
2113,17,84,"Jedhi: “Hunduu karaa isatti fakkaateen dalagaGooftaan keetis nama karaan isaa qajeelaa ta’e akkaan beekaadha.”",""
2114,17,85,"Ruuhii irraa si gaafatu“Ruuhiin dhimma (amrii) gooftaa kiyyaatiBeekumsa irraa waan xiqqoo malee isiniif hin kennamne” jedhiin.",""
2115,17,86,"Odoo feenee isa gara keetti wahyii goone ni deemsifna turreErgasii siif Nurraa isa (deebisutti) itti gaafatamaa hin argattu.",""
2116,17,87,"Garuu rahmata Gooftaa kee irraa ta’eef (isa eegne)Dhugumatti, tolli Isaa si irratti guddaa ta’eera.",""
2117,17,88,"Jedhi: “odoo ilmi namaatiifi jinnoonnis fakkaataa Qur’aana kanaatiin dhufuu irratti walitti qabamanii, odoo gariin isaanii gariif gargaaraa ta’aniis fakkaataa isaatiin hin dhufan.”",""
2118,17,89,"Dhugumatti, Nuti Qur’aana kana keessatti fakkeenyota hunda irraa namootaaf addeessinee jirraIrra hedduun namootaa kafaruu malee didanii jiru.",""
2119,17,90,"Ni jedhanis: “Hanga burqituu dachii keessaa nuuf maddisiiftutti siif hin amannu.",""
2120,17,91,"Yookiin (hanga) oyruu muka timiraatiifi Inabaa irraa siif ta’ee, ergasii isa keessa laggeen yaasiinsa yaaftutti (hin amannu).",""
2121,17,92,"Yookiin (hanga) akka jettetti kutaa samii irraa taate nu irratti kuffiftutti yookiin (hanga) Rabbiifi maleeykota fuuldura keenya fiddutti (hin amannu).",""
2122,17,93,"Yookiin (hanga) manni faaya warqee irraa ta’e siif ta’utti yookiin (hanga) samii keessa ol baatutti; ol ba’iinsa keettis hanga kitaaba dubbifnu nuuf buuftutti hin amannu” (jedhu)“Gooftaan kiyya qulqullaa’ee jiraSila ani nama ergamaa (Rabbii) ta’ee ergame malee waan biraa ta’eeraa?” jedhi",""
2123,17,94,"Namootas yeroo qajeelfamni (Rabbii) isaanitti dhufe “sila Rabbiin nama ergamaa taasisee ergaa?” jechuu malee homtuu amanuu isaan hin dhorgine.",""
2124,17,95,"“Odoo dachii keessa maleykonni tasgabbaa’anii deeman kan jiraatan ta’ee, silaa maleykaa samii irraa ergamaa taasifnee isaan irratti buufna turre” jedhi.",""
2125,17,96,"“Gidduu kiyyaafi gidduu keessanitti ragaaf Rabbiin ga’aadhaDhugumatti, Inni gabroota Isaa irratti beekaa, argaa ta’eera” jedhiin",""
2126,17,97,"Namni Rabbiin qajeelche, isatu qajeelaadhaNama Inni jallises, isaaniif Isaa gaditti gargaartota hin argituufGuyyaa Qiyaamaas fuula isaanii irratti, jaamaa, arrabaa qabamaafi gurraa duudaa ta’anii isaan kaafnaTeessoon isaaniis jahannamiDhawaata isiin gadi laaftuun gubaa ibiddaa isaaniif daballa.",""
2127,17,98,"Waan isaan keeyyattoota keenyatti kafaranii “sila yeroo lafeefi biyyee taane, nuti dhugamatti uumama haara’a taanee kaafamoodhaa?” jedhaniif kun mindaa isaaniiti.",""
2128,17,99,"Sila akka Rabbiin samiifi dachii uume fakkaataa isaanii uumuu irratti danda’aa ta’eefi beellama isa keessa shakkiin hin jirre isaaniif taasise ta’uu hin ilaallee? Miidhaa dalagdoonni (Rabbitti) kafaruu malee ni didan",""
2129,17,100,"Jedhi: “odoo isin dilbii rahmata Gooftaa kiyyaa dhuunfattanii, silaa dhumuu sodaaf (of biratti) qabattu turtan.” Ilmi namaa akkaan don’a ta’eera.",""
2130,17,101,"Dhugumatti, Muusaaf mallattoolee ifa ta’an sagal kennineefii jirraIlmaan Israa’iil, yeroo inni isaanitti dhufnaan Fir’awnis “yaa Muusaa! Ani dhugumatti sihriin qabamaa ta’uun si yaada” isaan jedhe gaafadhu.",""
2131,17,102,"(Muusaanis) ni jedhe: “Ati dhugumatti isaan kana haala ragaa ifa ba’aa ta’aniin Gooftaa samiifi dachii malee homtuu hin buusin sirritti beektee jirtaAnis yaa Fir’awn! Dhugumatti, ati halaakamaa ta’uun si yaada.”",""
2132,17,103,"Dachii (Misraa) irraas isaan baasuu fedheIsaafi namoota isa waliin turan hundas bishaan isaan nyaachifne.",""
2133,17,104,"Nutis isa booda ilmaan Israa’iiliin ni jenne: “dachii keessa jiraadhaaYeroo beellamni boodaa (Qiyaamaan) dhufe, hunda keessaniin dhufna.”",""
2134,17,105,"Nutis dhugaan isa (Qur’aana) buufne; innis dhugaan bu’eGammachiisaafi sodaachisaa goonee malee Nuti si hin ergine.",""
2135,17,106,"Qur’aana akka ati suuta suutaan namoota irratti isa dubbiftuuf isa qoqqoodne; buusiinsas isa buufne.",""
2136,17,107,"Jedhi: “Isatti amanaa yookiinis hin amaninaa; dhugumatti, isaan isa dura beekumsa kennaman, yeroo inni isaan irratti dubbifame fuula isaaniitiin sujuuda bu’u.”",""
2137,17,108,"Ni jedhus: “Gooftaan keenya qulqullaa’eeraDhugumatti, waadaan Gooftaa keenyaa raawwatamaadha.”",""
2138,17,109,"Fuula isaanii irratti booyaa sujuuda bu’uInnis sodaa isaaniif dabala.",""
2139,17,110,"Jedhi: “Allaah kadhaa yookiin Rahmaaniin kadhaa; kamiinuu yoo kadhattan Isaaf maqoota babbareedaa ta’antu jiraSalaata kee keessatti (baay’ee) sagalee kee ol hin fuudhin; (baay’ee) gadis hin qabatinGiddu (lamaan) sanitti karaa godhadhu",""
2140,17,111,"”Faaruun hundi kan Rabbii ilma hin godhatiniiti, kan mootummaa keessatti hiriyyaa hin qabneefi kan sababa salphinaa gargaaraan isaaf hin jirreeti” jedhiGuddisuu Isa guddisi",""
2141,18,1,"Faaruun hundi kan Rabbii gabricha Isaa irratti kitaaba buusee isa keessattis daba hin godhiniiti.",""
2142,18,2,"Qajeelaa (godhee) akka adabbii cimaa Isa biraa ta’e ittiin sodaachisee, mu’uminoota gaggaarii hojjatan ‘mindaan bareedaan isaaniif jiraachuudhaan’ gammachiisuuf (buuse).",""
2143,18,3,"Isa keessa yeroo hunda jiraatoodha",""
2144,18,4,"Isaan “Rabbiin ilma qaba” jedhanis sodaachisuuf (isa buuse).",""
2145,18,5,"Isaaniifi abbootii isaaniitiifis isa irratti beekumsi[] hin jiruJechi afaan isaanii irraa baatu waa guddatte! Soba malee homaa hin haasa’anu.","[1] Wanti aayanni kun itti fedhe yeroo Rabbiin ilmoo qaba jedhanu beekumsas ta’ee ragaa homaatuu hin qabanu; yaaduma isaaniitiin dubbatan jechuudha."
2146,18,6,"Yoo isaan haasa’a kanatti amanuu baatan gaddaan faana isaanii irratti lubbuu kee balleessuutu siif sodaatama.",""
2147,18,7,"Dhugumatti, Nuti isaan irraa eenyu akka irra tolchee hojjatu mul’isuuf waan dachii irra jiru (hunda) isheef miidhagina taasifne",""
2148,18,8,"Dhugumatti, Nuti wantoota ishee (dachii) irra jiran hunda dirree duwwaa biqilaa hin qabne taasisoodha.",""
2149,18,9,"Sila (seenaan) warra holqaafi gabatee mallattoolee keenya irraa dinqisiisaa ta’uu yaaddee?",""
2150,18,10,"Yeroo dargaggoonni gara holqaa galanii “(yaa) Gooftaa keenya! Si biraa rahmata nuuf kenni; dhimma keenya irraas karaa qajeelaa nuuf mijeessi” jedhan (waan ta’e yaadadhu)",""
2151,18,11,"Holqa keessattis waggoota lakkaa’amaniif dhageettii isaanii irratti (hirriba) darbine.",""
2152,18,12,"Ergasii Nuti ‘kamii gareewwan lamaaniitu dheerina yeroo turanii irra hubataa beekuuf jecha’ isaan dammaqsine.",""
2153,18,13,"Nuti oduu isaanii dhugaan siif odeessinaDhugumatti, isaan dargaggoota Gooftaa isaaniitti amananii, qajeeluma isaaniif daballeedha.",""
2154,18,14,"Ammas Nuti yeroo isaan dhaabbatanii “Gooftaan keenya Gooftaa samiifi dachiitiNuti Isa malee gabbaramaa biraa hin waammannuDhugumatti, (yoo kana raawwanne), haasa’a (kufrii keessa) daangaa dabre dubbanne jirra” jedhan onnee isaanii irratti (iimaana) jabeessinee jirra.",""
2155,18,15,"“Ummanni keenya kun Isaa gaditti gabbaramoota biraa taasifataniiruMaaliif ragaa ifa ta’e isaan irratti hin fidatanu? Nama Rabbi irratti soba uume caalaa namni miidhaa hojjate eenyu?",""
2156,18,16,")Dargaggoonnis ni jedhan): “Yeroo isaaniifi wantoota isaan Rabbiin ala gabbaran irraa fagaattan, gara holqaa galaaGooftaan keessan rahmata Isaa irraa isiniif bal’iseeti dhimma keessan irraas laafina isiiniif qopheessa.”",""
2157,18,17,"Aduus yeroo baatu holqa isaanii irraa kan gara mirgaatti dabdu argitaYeroo dhiitus, haala isaan bal’ina isa (goda) irraa ta’e keessa jiraniin gara bitaatti isaan dhiiftiKun mallattoolee Rabbii irraayiNamni Rabbiin (isa) qajeelche, isatu qajeelaadhaNamni Inni jallise immoo gargaaraa isa qajeelchu isaaf hin argitu.",""
2158,18,18,"Kanuma isaan rafaa jiranu dammaqoo isaan seetaMirgaafi bitaatti isaan garagaggalchinaSareen isaaniis dhundhumma isaa lamaan moggaa (holqaatti) diriirsaadhaOdoo isaan argitee dhugumatti, silaa baqannaan isaan irraa garagalta; isaan irraas sodaa guutamta turte.",""
2159,18,19,"Akkuma san, akka gidduu isaanitti wal gaafataniif jecha isaan dammaqsineJedhaan isaan irraa ta’e tokko “Yeroo hangam (as) turtan?” jedhe“Guyyaa tokko yookiin garii guyyaa turre” jedhanNi jedhan: “Yeroo hangam akka (as) turtan Gooftaa keessan (qofatu) akkaan beekaTokkoo keessan maallaqa keessan kanaan gara magaalaa ergaaNyaanni gaariin kam akka ta’e ilaalee, isa irraa soorata isiniif haa fiduHaa dhokatus; waa’ee keessanis nama tokkos akka hin beeksifne.",""
2160,18,20,"Isaan yoo isin argan, dhagaan tumanii isin ajjeesu yookiin amantii isaaniitti isin deebisuYoo san ammoo gonkumaa hin milkooftan.”",""
2161,18,21,"Akka kanatti akka isaan beellamni Rabbii dhugaa ta’uu beekaniifi Qiyaamaas shakkiin ishee keessa jiraachuu dhabuu akka beekaniif, yeroo isaan gidduu isaaniitti waa’ee warra holqaa keessatti wal dhaban, isaan irratti mul’ifneNi jedhan: “Gooftaa isaaniitu akkaan isaan beekaa, ijaarsa isaan irratti ijaaraa.” Warri dhimma isaanii irratti injifatan immoo “Nuti dhugumatti, masjida isaan irratti godhanna” jedhan.",""
2162,18,22,"(Waan hin argin shaallaguudhaan) “Isaan yoo sadi ta’an, afraffaan isaanii saree isaaniiti” jechuuf jiru“Isaan shan yoo ta’an jahaffaan isaanii saree isaaniiti” jedhus“Isaan torba yoo ta’an saddeettaffaan isaaniis saree isaaniti” jedhu(Yaa Muhammad!): “Lakkoofsa isaanii Gooftaa kiyyatu akkaan beeka, namoota muraasa malee isaan hin beeku” jedhiKanaafuu mormii ifa ta’e malee, waa’ee isaanii keessatti hin falminWaa’ee isaanii keessattis isaan irraa nama tokkos hin gaafatin.",""
2163,18,23,"Waan tokkos “Ani waan san boru hojjataadha” hin jedhin",""
2164,18,24,"“Yoo Rabbiin fedhe” (jettu) maleeyeroo dagattes Gooftaa kee yaadadhu“Gooftaan kiyya gara karaa isa kana irra qajeelumatti dhihoo ta’ee na qajeelchuun ni kajeelama” jedhi.",""
2165,18,25,"Isaanis holqa isaanii keessa waggoota dhibba sadi turanii sagalis dabalatan.",""
2166,18,26,"“Hanga isaan turan Rabbumatu akkaan beekaa(Beekumsi) fagoo kan samiifi dachii Isumaafi” jedhiAkkam arga! Akkam dhaga’as! Isaaniif Isa malee gargaaraan hin jiruMurtii Isaa keessattis tokkollee hin hirmaachisu",""
2167,18,27,"Waan kitaaba Gooftaa keetii (Qur’aana) irraa gara keetti beeksisa godhame dubbisiJechoota Isaa jijjiiraan hin jiruIsa malee iddoo itti dabdus hin argattu.",""
2168,18,28,"Lubbuu keetis isaan Fuula Isaa fedhanii Gooftaa isaanii ganamaafi galgala waammatanii wajjiin hidhiMiidhagina jireenya addunyaa feetee ija kee lamaan isaan irra hin qaarsinNama onnee isaa yaadannoo keenya irraa cufne, kan fedha lubbuu isaa hordofuufi dhimmi isaa daangaa darbaa ta’eef hin ajajamin.",""
2169,18,29,"Jedhis: “Dhugaan Gooftaa keessan irraayiNamni fedhe haa amanu; namni fedhes haa kafaruDhugumatti, Nuti miidhaa hojjattootaaf ibidda dallaan ishee isaanitti marse qopheessinee jirraYoo birmachiifatanis bishaan akka rajaa (siicoo) danfeetti fuula quncisutu isaaniif kennamaDhugaatichis akkaan fokkate! Hirkannaanis akkaan fokkate!",""
2170,18,30,"Dhugumatti isaan amananii, gaggaarii hojjatan, Nuti mindaa nama dalagaa tolchee hin balleessinu.",""
2171,18,31,"Warra san isaaniif jannata qubsumaa kan laggeen isaan jala yaatuutu jiraAchi keessatti isaan gumeewwan warqee irraa ta’een miidhagfamuUffata magariisa hariira haphiifi furdaa irraa hojjatamanis uffatuIshee keessatti sireewwan irratti hirkatanii taa’uMindaan waa tole! Hirkannaanis waa bareedde!",""
2172,18,32,"Dhiira lama kan tokkoo isaaniittiif oyruu lama kan inaba irraa ta’an taasifnee, isaan lamaanuu muka timiraatiin marsinee, gidduu isaaniittis midhaan (facaafamu) taasifne fakkeenya isaaniif godhi.",""
